name,area_wkt
Vidyaranyapura,POINT (77.5577315 13.0766407)
Whitefield,POINT (77.7497448 12.9696365)
Malleswaram,POINT (77.5703253 13.0027353)
Shanti Nagar,POINT (77.5924278 12.9555367)
Shivajinagar,POINT (77.6054496 12.9855286)
Gandhinagar,POINT (77.5800313 12.9771534)
Jayanagar,POINT (77.5824229 12.9292731)
JP Nagar,POINT (77.5866067 12.9096941)
Chamarajapete,POINT (77.5629161 12.9584184)
Sriramapuram,POINT (77.5638092 12.9909874)
Rajajinagar,POINT (77.554883 12.9882338)
Vijaya Nagar,POINT (77.5354092 12.9663993)
Koramangala,POINT (77.624081 12.9357366)
Austin Town,POINT (77.6152935 12.9612736)
Chikkapete,POINT (77.5756901 12.9697837)
Basavanagudi,POINT (77.5755021 12.9417261)
RT Nagar,POINT (77.595715 13.0227204)
Frazer Town,POINT (77.6136744 12.9975851)
Yelahanka,POINT (77.5963454 13.1006982)
Mathikere,POINT (77.5581786 13.0333587)
Jalahalli,POINT (77.5483803 13.0464531)
Marathahalli,POINT (77.6984163 12.9552572)
Krishnarajapuram,POINT (77.695935 13.007516)
Ramamurthy Nagar,POINT (77.6777817 13.0120218)
Baiyyappanahalli,POINT (77.6533197 12.9963408)
Banaswadi,POINT (77.6518539 13.0141618)
Yeswanthpur,POINT (77.5530824 13.0221838)
BTM Layout,POINT (77.6102821 12.9140008)
Rajarajeshwari Nagar,POINT (77.5155224 12.9274413)
Jnana Bharathi,POINT (77.5112326 12.9433485)
Indiranagar,POINT (77.6404672 12.9732913)
Bellanduru,POINT (77.6770417 12.9292114)
HSR Layout,POINT (77.6388622 12.9116225)
Anjanapura,POINT (77.5580713 12.8580811)
Kengeri,POINT (77.4842926 12.9229728)
Sadashivanagar,POINT (77.5808641 13.0110193)
Vasanth Nagar,POINT (77.591459 12.9921738)
RMV 2nd Stage,POINT (77.5695288 13.0360109)
Hebbal,POINT (77.5919 13.0382184)
Sahakaranagara,POINT (77.5858824 13.0629067)
Arkavathy Layout,POINT (77.621897 13.067129)
Jakkur,POINT (77.6068938 13.0784743)
Kalyan Nagar,POINT (77.6403368 13.0221416)
Uttarahalli,POINT (77.5455438 12.9055682)
Mahadevapura,POINT (77.6924156 12.9934976)
C V Raman Nagar,POINT (77.6649767 12.9856478)
Varthur,POINT (77.746988 12.9406508)
Nagarabhavi,POINT (77.5130777 12.9664182)
Halasuru,POINT (77.6246697 12.9778793)
Hoodi,POINT (77.7162015 12.9919033)
Kadugodi,POINT (77.7609716 12.9985767)
Pattanduru Agrahara,POINT (77.733422 12.9784752)
Laggere,POINT (77.5207301 13.0108677)
Sulthanpalya,POINT (77.6046949 13.0294119)
Nagavara,POINT (77.623602 13.0374647)
Horamavu,POINT (77.6601508 13.0273312)
Kudlu,POINT (77.6555716 12.8889126)
Peenya,POINT (77.5273253 13.0329419)
Beguru,POINT (77.6227293 12.8747465)
Lingarajapuram,POINT (77.6267881 13.0093949)
Herohalli,POINT (77.4870119 12.9912345)
HBR Layout,POINT (77.6280789 13.031992)
Gottigere,POINT (77.5877237 12.8565317)
Richmond Town,POINT (77.6015856 12.963555)
Kammanahalli,POINT (77.6382029 13.0148544)
EPIP Zone,POINT (77.7246451 12.9781922)
Konanakunte,POINT (77.5697529 12.8792861)
Mahalakshmi Layout,POINT (77.5446972 13.0113153)
Basaveshwaranagar,POINT (77.5391325 12.9937572)
Sir MV Layout,POINT (77.4779463 12.9437937)
Kaval Byrasandra,POINT (77.6092887 13.0200235)
Kempapura Agrahara,POINT (77.5553763 12.9706228)
Haralur,POINT (77.6654434 12.9044856)
Banashankari 6th Stage,POINT (77.5154846 12.8849238)
TC Palya,POINT (77.7057327 13.0226152)
Hennur,POINT (77.6413572 13.037077)
Nagasandra,POINT (77.5004286 13.0409678)
Banashankari,POINT (77.556621 12.9278196)
